,,,DeltaBlue (s),Json (s),Time (day),,,,,,,,,3.9.13,5/17/2022,https://www.python.org/ftp/python/3.9.13/python-3.9.13-amd64.exe,0.07114909,4.266606672,55,,3.8.10,5/3/2021,https://www.python.org/ftp/python/3.8.10/python-3.8.10-amd64.exe,0.082891462,4.592966792,31,,,3.7.9,8/17/2020,https://www.python.org/ftp/python/3.7.9/python-3.7.9-amd64.exe,0.07878831,4.886934412,51
3.11.2,2/8/2023,https://www.python.org/ftp/python/3.11.2/python-3.11.2-amd64.exe,0.061704214,2.335316188,64,,3.10.10,2/8/2023,https://www.python.org/ftp/python/3.10.10/python-3.10.10-amd64.exe,0.067517538,2.49606715,,,3.9.12,3/23/2022,https://www.python.org/ftp/python/3.9.12/python-3.9.12-amd64.exe,0.069055448,3.748874472,7,,3.8.9,4/2/2021,https://www.python.org/ftp/python/3.8.9/python-3.8.9-amd64.exe,0.06813041,4.241382364,42,,,3.7.8,6/27/2020,https://www.python.org/ftp/python/3.7.8/python-3.7.8-amd64.exe,0.073176894,4.888029204,109
3.11.1,12/6/2022,https://www.python.org/ftp/python/3.11.1/python-3.11.1-amd64.exe,0.066069264,2.445681824,43,,3.10.9,12/6/2022,https://www.python.org/ftp/python/3.10.9/python-3.10.9-amd64.exe,,,,,3.9.11,3/16/2022,https://www.python.org/ftp/python/3.9.11/python-3.9.11-amd64.exe,0.069185634,4.904824596,61,,3.8.8,2/19/2021,https://www.python.org/ftp/python/3.8.8/python-3.8.8-amd64.exe,0.081220548,4.37737114,60,,,3.7.7,3/10/2020,https://www.python.org/ftp/python/3.7.7/python-3.7.7-amd64.exe,0.06956169,5.696784432,83
3.11.0,10/24/2022,https://www.python.org/ftp/python/3.11.0/python-3.11.0-amd64.exe,0.067369338,2.77829409,0,,3.10.8,10/11/2022,https://www.python.org/ftp/python/3.10.8/python-3.10.8-amd64.exe,,,,,3.9.10,1/14/2022,https://www.python.org/ftp/python/3.9.10/python-3.9.10-amd64.exe,0.06697686,4.71074898,60,,3.8.7,12/21/2020,https://www.python.org/ftp/python/3.8.7/python-3.8.7-amd64.exe,0.065983112,4.01641912,88,,,3.7.6,12/18/2019,https://www.python.org/ftp/python/3.7.6/python-3.7.6-amd64.exe,0.07904413,5.28079475,64
,,,,,,,3.10.7,9/6/2022,https://www.python.org/ftp/python/3.10.7/python-3.10.7-amd64.exe,,,,,3.9.9,11/15/2021,https://www.python.org/ftp/python/3.9.9/python-3.9.9-amd64.exe,0.071739346,4.226292666,10,,3.8.6,9/24/2020,https://www.python.org/ftp/python/3.8.6/python-3.8.6-amd64.exe,0.064831938,3.96191304,66,,,3.7.5,10/15/2019,https://www.python.org/ftp/python/3.7.5/python-3.7.5-amd64.exe,0.07654047,5.192753218,99
DeltaBlue (s),Json (s),Time (day),,,,,3.10.6,8/2/2022,https://www.python.org/ftp/python/3.10.6/python-3.10.6-amd64.exe,,,,,3.9.8,11/5/2021,https://www.python.org/ftp/python/3.9.8/python-3.9.8-amd64.exe,0.065183916,4.227784334,67,,3.8.5,7/20/2020,https://www.python.org/ftp/python/3.8.5/python-3.8.5-amd64.exe,0.06809259,5.158378124,7,,,3.7.4,7/8/2019,https://www.python.org/ftp/python/3.7.4/python-3.7.4-amd64.exe,0.07080964,5.200780798,105
0.061704214,2.335316188,64,,,,,3.10.5,6/6/2022,https://www.python.org/ftp/python/3.10.5/python-3.10.5-amd64.exe,,,,,3.9.7,8/30/2021,https://www.python.org/ftp/python/3.9.7/python-3.9.7-amd64.exe,0.067217066,4.184566164,63,,3.8.4,7/13/2020,https://www.python.org/ftp/python/3.8.4/python-3.8.4-amd64.exe,0.06959116,4.203483554,61,,,3.7.3,3/25/2019,https://www.python.org/ftp/python/3.7.3/python-3.7.3-amd64.exe,0.083739396,5.074528304,91
0.066069264,2.445681824,43,,,,,3.10.4,3/24/2022,https://www.python.org/ftp/python/3.10.4/python-3.10.4-amd64.exe,,,,,3.9.6,6/28/2021,https://www.python.org/ftp/python/3.9.6/python-3.9.6-amd64.exe,0.070753152,4.00960365,56,,3.8.3,5/13/2020,https://www.python.org/ftp/python/3.8.3/python-3.8.3-amd64.exe,0.064552144,4.207893642,79,,,3.7.2,12/24/2018,https://www.python.org/ftp/python/3.7.2/python-3.7.2-amd64.exe,0.085739566,5.243919594,65
0.067369338,2.77829409,0,,,,,3.10.3,3/16/2022,https://www.python.org/ftp/python/3.10.3/python-3.10.3-amd64.exe,,,,,3.9.5,5/3/2021,https://www.python.org/ftp/python/3.9.5/python-3.9.5-amd64.exe,0.06511722,4.166880656,29,,3.8.2,2/24/2020,https://www.python.org/ftp/python/3.8.2/python-3.8.2-amd64.exe,0.070494614,5.14978336,68,,,3.7.1,10/20/2018,https://www.python.org/ftp/python/3.7.1/python-3.7.1-amd64.exe,0.074355944,4.945188626,115
0.07114909,4.266606672,55,,,,,3.10.2,1/14/2022,https://www.python.org/ftp/python/3.10.2/python-3.10.2-amd64.exe,,,,,3.9.4,4/4/2021,https://www.python.org/ftp/python/3.9.4/python-3.9.4-amd64.exe,0.063820886,4.213389776,44,,3.8.1,12/18/2019,https://www.python.org/ftp/python/3.8.1/python-3.8.1-amd64.exe,0.07831081,5.280760696,65,,,3.7.0,6/27/2018,https://www.python.org/ftp/python/3.7.0/python-3.7.0-amd64.exe,0.069073314,4.94189734,0
0.069055448,3.748874472,7,,,,,3.10.1,12/6/2021,https://www.python.org/ftp/python/3.10.1/python-3.10.1-amd64.exe,,,,,3.9.2,2/19/2021,https://www.python.org/ftp/python/3.9.2/python-3.9.2-amd64.exe,0.062397688,4.019605398,74,,3.8.0,10/14/2019,https://www.python.org/ftp/python/3.8.0/python-3.8.0-amd64.exe,0.085984356,5.330226802,0,,,,,,,,
0.069185634,4.904824596,61,,,,,3.10.0,10/4/2021,https://www.python.org/ftp/python/3.10.0/python-3.10.0-amd64.exe,,,,,3.9.1,12/7/2020,https://www.python.org/ftp/python/3.9.1/python-3.9.1-amd64.exe,0.06048168,4.017819722,63,,,,,,,,,,,,,,,
0.06697686,4.71074898,60,,,,,,,,,,,,3.9.0,10/5/2020,https://www.python.org/ftp/python/3.9.0/python-3.9.0-amd64.exe,0.069395692,4.013460578,0,,,,,,,,,,,,,,,
0.071739346,4.226292666,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.065183916,4.227784334,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.067217066,4.184566164,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070753152,4.00960365,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06511722,4.166880656,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.063820886,4.213389776,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.062397688,4.019605398,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06048168,4.017819722,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.069395692,4.013460578,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.082891462,4.592966792,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06813041,4.241382364,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.081220548,4.37737114,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.065983112,4.01641912,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.064831938,3.96191304,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06809259,5.158378124,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06959116,4.203483554,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.064552144,4.207893642,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070494614,5.14978336,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07831081,5.280760696,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.085984356,5.330226802,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07878831,4.886934412,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.073176894,4.888029204,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06956169,5.696784432,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07904413,5.28079475,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07654047,5.192753218,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07080964,5.200780798,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.083739396,5.074528304,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.085739566,5.243919594,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.074355944,4.945188626,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.069073314,4.94189734,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
