,Bounce,DeltaBlue,Json,List,Permute,Queens,Sieve,Storage,Towers
3.10.0,0.43394957000000006,0.07139072333333334,3.723306027333334,0.29399984333333334,0.796617108,0.4373430259999999,0.25017051133333335,0.590806994,1.096208482666667,
3.10.1,0.4151672686666667,0.06622128266666666,3.5741970493333337,0.3014105746666667,0.7320165086666667,0.38906417066666676,0.23000228400000003,0.56338243,0.972412354,
3.10.10,0.39351371666666674,0.06683838733333333,3.3288798660000007,0.2930215726666666,0.6930371066666667,0.35781898333333334,0.2859821793333334,0.5509759333333334,0.9312709993333335,
3.10.2,0.39845478466666673,0.066963244,3.4023325926666668,0.29804128733333335,0.7161498660000001,0.37972371000000005,0.23016640600000002,0.5740784966666667,0.9722550853333336,
3.10.3,0.390413218,0.06658073,3.5793961800000007,0.30700109933333325,0.70855687,0.3705936833333333,0.22230170533333335,0.5554554973333333,0.9751610900000001,
3.10.4,0.4050317493333334,0.06628399266666668,3.5462891306666666,0.30649300800000007,0.7340504173333334,0.37971830733333334,0.24609307933333335,0.5553917946666667,0.9553937746666666,
3.10.5,0.39248855000000005,0.067797894,3.4418893226666665,0.29656679599999997,0.6962825426666667,0.38006631666666674,0.22019621200000003,0.5433106266666667,0.9807884746666669,
3.10.6,0.4030450893333333,0.06679365000000001,3.444150569333333,0.31432536199999994,0.6955721353333334,0.38517909266666667,0.22313975466666672,0.5699866320000001,1.053887394,
3.10.7,0.419739252,0.18044531000000003,3.5606336740000004,0.3095181666666667,0.7123134733333334,0.3851123966666667,0.23130450600000005,0.5714515726666666,1.0279816146666667,
3.10.8,0.4157882213333334,0.06545109733333333,3.522881239333333,0.3124006726666667,0.7198783140000001,0.3958627233333333,0.24451902333333334,0.6006831373333333,1.0234565646666667,
3.10.9,0.401095732,0.07692306066666667,3.5916991659999993,0.3007570286666667,0.7020022100000001,0.4146967206666668,0.27115654200000006,0.5650587146666669,0.9826626813333335,
3.11.0,0.2625135313333333,0.057995208666666666,2.296967569333334,0.19721133933333335,0.49805838,0.285072056,0.17897399466666672,0.457781834,0.5724249333333334,
3.11.1,0.25077872733333334,0.05812835133333334,2.2842500373333334,0.184244504,0.49797290733333344,0.25881413,0.18150348133333338,0.433370038,0.6254588973333334,
3.11.2,0.2626293626666667,0.058198320666666685,2.2348172720000004,0.18249928133333337,0.4865647613333334,0.2692010673333334,0.17554172533333331,0.45062258400000005,0.599592684,
3.7.0,0.5066074233333334,0.07012572933333333,4.284794917333333,0.33365417799999997,0.8843912899999999,0.4633267826666667,0.3004026513333333,0.6761413893333333,1.182854468,
3.7.1,0.49986968933333353,0.06670859400000001,4.0965457239999985,0.3346896646666666,0.9342323159999999,0.47283825,0.2823383873333334,0.6679105393333333,1.177424396,
3.7.2,0.4864300840000001,0.067258214,4.069947554,0.32278797200000003,0.870020462,0.452461022,0.27747645,0.66553471,1.1050209613333333,
3.7.3,0.49062613800000004,0.067518102,4.046954949333334,0.3387564333333334,0.8656545213333333,0.45645506,0.2835070446666667,0.6558477946666667,1.1325650459999999,
3.7.4,0.4897955973333334,0.07009896533333335,4.096822133999999,0.3348548093333334,0.8821694053333335,0.45218699266666673,0.2651510106666667,0.6513607973333335,1.1230690006666668,
3.7.5,0.49971656733333336,0.06654666066666666,4.12878342,0.3470275153333333,0.8924461066666667,0.4550942106666667,0.283046794,0.6701445086666666,1.150522536,
3.7.6,0.5043506526666667,0.06810707333333332,4.042078032,0.32040616266666666,0.8629356106666666,0.4605300353333333,0.261599414,0.655055848,1.1404761593333335,
3.7.7,0.6594185913333334,0.12097762933333336,5.063432097333334,0.4496593573333333,1.159622388,0.6376601053333334,0.42185654533333333,0.9571296586666665,1.477414823333333,
3.7.8,0.6962580820000001,0.1560518966666667,5.487466243999999,0.493746422,1.2280455893333333,0.6533006179999998,0.3971216973333334,0.9239628580000001,1.583742030666667,
3.7.9,0.44180375,0.06676388866666667,3.702847438,0.31113198533333336,0.7989459166666667,0.424765296,0.255332382,0.6158563233333333,1.029735004,
3.8.0,0.542013026,0.06695218933333334,4.328893949333334,0.3784377120000001,0.9087060753333333,0.4792100053333333,0.28533485933333336,0.6782960533333334,1.2383850566666668,
3.8.1,0.5156552393333335,0.06746503266666667,4.202041619333333,0.3741533513333335,0.8995520973333334,0.473387036,0.277848122,0.6830287446666667,1.2357740806666664,
3.8.10,0.41527669133333334,0.067464462,3.422947297333333,0.28664992533333333,0.7438679933333334,0.3594488660000001,0.23095138200000004,0.5676367193333334,0.9360811019999999,
3.8.2,0.5445244466666667,0.13549472333333334,19.738731733999998,0.3794511659999999,0.8853376333333335,0.4722493726666668,0.27852338666666665,0.6757679046666667,1.2455967406666666,
3.8.3,0.5962927940000001,0.12684515333333332,4.805289474666666,0.4545707866666666,1.0577184333333334,0.614213196,0.3259487326666667,0.8508427786666667,1.3472466506666667,
3.8.4,0.42285830133333335,0.07262280333333335,3.475927422,0.30152757999999996,1.007980986,0.5948874140000001,0.36806169000000005,0.8459738459999998,1.5303488753333336,
3.8.5,0.4383707146666667,0.06971287666666667,3.5247126826666673,0.29221992133333335,0.7432405593333334,0.3833525693333334,0.22282681933333331,0.5802137840000001,0.9874380113333335,
3.8.6,0.416744206,0.065542562,3.4298564666666675,0.2960457526666666,0.7082269966666669,0.3691183120000001,0.23406258866666665,0.5723623840000001,0.9495547300000002,
3.8.7,0.42613151066666677,0.06209964066666667,3.433995736666667,0.29352524733333335,0.7201104026666667,0.38305959333333334,0.21802967266666667,0.5778344273333335,0.9417539020000001,
3.8.8,0.4393727786666667,0.06372389866666667,3.4134547593333338,0.2934921893333333,0.7177134466666666,0.36339923199999996,0.21837577333333338,0.5564852539999999,0.9346796846666667,
3.8.9,0.4193874993333334,0.06450678066666665,3.4321136466666666,0.28633031800000003,0.7176947426666668,0.3830675926666666,0.2217063413333333,0.5740481286666665,0.948829994,
3.9.0,0.4182563373333334,0.06446837066666666,3.403231192,0.282052768,0.7304742746666667,0.36435845000000006,0.209544492,0.551351774,0.9468248706666667,
3.9.1,0.4157864113333334,0.06406165666666666,3.3240205893333328,0.28938305333333336,0.7154659446666666,0.35620983733333333,0.2226691786666667,0.6126154506666667,0.9270956373333334,
3.9.10,0.428384938,0.06745309733333334,3.63585206,0.3031767173333334,0.7343420113333333,0.3894510633333333,0.21890766533333333,0.5960788180000001,0.9770465113333333,
3.9.11,0.4203730180000001,0.06572435199999999,3.477103777333333,0.3113611273333333,0.7449257226666667,0.383771998,0.22190520799999996,0.5694743773333333,1.003910342,
3.9.12,0.4251013633333334,0.066032998,3.5612844753333333,0.30109111200000005,0.7234604066666664,0.3725110626666667,0.22418099933333333,0.6167408866666668,0.9641797719999999,
3.9.13,0.41354749466666657,0.06588092733333334,3.711793728666667,0.29383026733333334,0.723658872,0.374610656,0.2301563293333334,0.5559722786666668,0.9640534713333333,
3.9.2,0.40667493066666666,0.06714327666666667,3.318757846,0.2793349073333333,0.7117530339999999,0.3730681560000001,0.23280352000000007,0.5562314479999999,0.9172781793333334,
3.9.4,0.4153698579999999,0.062330934666666664,3.3559397466666665,0.30118401533333333,0.6922490753333335,0.359151182,0.20917749400000002,0.5386707673333332,0.9502683213333333,
3.9.5,0.42498204400000006,0.06428744666666669,3.3510416246666668,0.298710868,0.703537442,0.36369744866666665,0.2137013053333333,0.5454328946666666,0.9496754413333334,
3.9.6,0.4206351666666667,0.06282912133333335,3.5027772779999995,0.29041040733333323,0.7001293593333333,0.36677081,0.20820700600000003,0.5600190106666667,0.9634632160000003,
3.9.7,0.41152505666666667,0.065807682,3.3034286780000004,0.3373638793333333,0.7153960773333332,0.3583618746666667,0.20530021,0.5541678973333333,0.9258363613333334,
3.9.8,0.4263173206666667,0.06747649733333333,3.647904886,0.30326264933333336,0.7678559313333332,0.38546344600000004,0.233405024,0.5971307960000001,1.0074927786666668,
3.9.9,0.4358244633333334,0.08086992600000001,3.714590202666666,0.2990019480000001,0.7682622673333335,0.38193298,0.22275517000000003,0.5809315966666667,1.0208734739999998,
